"Simulation step","vehicle id","vehicle color","vehicle speed","vehicle is on edge","edge congestion status","edge average speed","edge density"
"49.0","1768310031624_0_0","BLACK","95.40","-E23","false","88.38","12.12"
"49.0","1768310031624_7_7","BLACK","79.74","-E23","false","88.38","12.12"
"50.0","1768310031624_0_0","BLACK","91.59","-E23","false","82.55","24.23"
"50.0","1768310031624_1_1","BLUE","84.45","-E23","false","82.55","24.23"
"50.0","1768310031624_7_17","GREEN","70.67","-E23","false","82.55","24.23"
"50.0","1768310031624_7_7","BLACK","76.07","-E23","false","82.55","24.23"
"51.0","1768310031624_0_0","BLACK","91.09","-E23","false","78.26","36.35"
"51.0","1768310031624_1_1","BLUE","82.44","-E23","false","78.26","36.35"
"51.0","1768310031624_2_2","GREEN","77.33","-E23","false","78.26","36.35"
"51.0","1768310031624_7_17","GREEN","67.11","-E23","false","78.26","36.35"
"51.0","1768310031624_7_27","BLACK","60.94","-E23","false","78.26","36.35"
"51.0","1768310031624_7_7","BLACK","78.94","-E23","false","78.26","36.35"
"52.0","1768310031624_0_0","BLACK","91.67","-E23","false","74.48","48.46"
"52.0","1768310031624_1_1","BLUE","81.30","-E23","false","74.48","48.46"
"52.0","1768310031624_2_2","GREEN","74.23","-E23","false","74.48","48.46"
"52.0","1768310031624_3_3","GREEN","68.83","-E23","false","74.48","48.46"
"52.0","1768310031624_7_17","GREEN","73.93","-E23","false","74.48","48.46"
"52.0","1768310031624_7_27","BLACK","59.30","-E23","false","74.48","48.46"
"52.0","1768310031624_7_37","BLACK","52.55","-E23","false","74.48","48.46"
"52.0","1768310031624_7_7","BLACK","78.48","-E23","false","74.48","48.46"
"53.0","1768310031624_0_0","BLACK","89.62","-E23","false","70.22","60.58"
"53.0","1768310031624_1_1","BLUE","83.20","-E23","false","70.22","60.58"
"53.0","1768310031624_2_2","GREEN","75.92","-E23","false","70.22","60.58"
"53.0","1768310031624_3_3","GREEN","66.41","-E23","false","70.22","60.58"
"53.0","1768310031624_4_4","GREEN","60.06","-E23","false","70.22","60.58"
"53.0","1768310031624_7_17","GREEN","72.66","-E23","false","70.22","60.58"
"53.0","1768310031624_7_27","BLACK","64.06","-E23","false","70.22","60.58"
"53.0","1768310031624_7_37","BLACK","51.32","-E23","false","70.22","60.58"
"53.0","1768310031624_7_47","GREEN","43.22","-E23","false","70.22","60.58"
"53.0","1768310031624_7_7","BLACK","75.99","-E23","false","70.22","60.58"
"54.0","1768310031624_0_0","BLACK","73.66","-E23","false","65.48","72.70"
"54.0","1768310031624_1_1","BLUE","83.89","-E23","false","65.48","72.70"
"54.0","1768310031624_2_2","GREEN","80.48","-E23","false","65.48","72.70"
"54.0","1768310031624_3_3","GREEN","70.79","-E23","false","65.48","72.70"
"54.0","1768310031624_4_4","GREEN","57.16","-E23","false","65.48","72.70"
"54.0","1768310031624_5_5","BLACK","50.41","-E23","false","65.48","72.70"
"54.0","1768310031624_7_17","GREEN","74.09","-E23","false","65.48","72.70"
"54.0","1768310031624_7_27","BLACK","66.56","-E23","false","65.48","72.70"
"54.0","1768310031624_7_37","BLACK","54.98","-E23","false","65.48","72.70"
"54.0","1768310031624_7_47","GREEN","40.94","-E23","false","65.48","72.70"
"54.0","1768310031624_7_57","GREEN","31.71","-E23","false","65.48","72.70"
"54.0","1768310031624_7_7","BLACK","76.53","-E23","false","65.48","72.70"
"55.0","1768310031624_0_0","BLACK","57.46","-E23","false","58.81","84.81"
"55.0","1768310031624_1_1","BLUE","71.00","-E23","false","58.81","84.81"
"55.0","1768310031624_2_2","GREEN","78.20","-E23","false","58.81","84.81"
"55.0","1768310031624_3_3","GREEN","75.35","-E23","false","58.81","84.81"
"55.0","1768310031624_4_4","GREEN","61.92","-E23","false","58.81","84.81"
"55.0","1768310031624_5_5","BLACK","47.19","-E23","false","58.81","84.81"
"55.0","1768310031624_6_6","WHITE","38.19","-E23","false","58.81","84.81"
"55.0","1768310031624_7_17","GREEN","72.11","-E23","false","58.81","84.81"
"55.0","1768310031624_7_27","BLACK","72.82","-E23","false","58.81","84.81"
"55.0","1768310031624_7_37","BLACK","60.62","-E23","false","58.81","84.81"
"55.0","1768310031624_7_47","GREEN","49.44","-E23","false","58.81","84.81"
"55.0","1768310031624_7_57","GREEN","27.78","-E23","false","58.81","84.81"
"55.0","1768310031624_7_67","GREEN","12.35","-E23","false","58.81","84.81"
"55.0","1768310031624_7_7","BLACK","67.69","-E23","false","58.81","84.81"
"56.0","1768310031624_0_0","BLACK","42.97","-E23","false","54.33","90.87"
"56.0","1768310031624_1_1","BLUE","56.51","-E23","false","54.33","90.87"
"56.0","1768310031624_2_2","GREEN","69.77","-E23","false","54.33","90.87"
"56.0","1768310031624_3_3","GREEN","74.24","-E23","false","54.33","90.87"
