simulation step,vehicle id,vehicle color,vehicle speed,vehicle is on edge,edge congestion status,edge average speed,edge density
155.0,1768702095428_0_0,BLUE,95.40,-E23,false,89.95,12.12
155.0,1768702095428_1_1,WHITE,84.45,-E23,false,89.95,12.12
156.0,1768702095428_0_0,BLUE,91.59,-E23,false,84.97,24.23
156.0,1768702095428_1_1,WHITE,80.77,-E23,false,84.97,24.23
156.0,1768702095428_2_2,BLACK,87.09,-E23,false,84.97,24.23
156.0,1768702095428_9_9,GREEN,75.37,-E23,false,84.97,24.23
157.0,1768702095428_0_0,BLUE,91.09,-E23,false,81.22,36.35
157.0,1768702095428_1_1,WHITE,83.64,-E23,false,81.22,36.35
157.0,1768702095428_1_11,BLACK,66.42,-E23,false,81.22,36.35
157.0,1768702095428_2_2,BLACK,85.08,-E23,false,81.22,36.35
157.0,1768702095428_3_3,WHITE,80.50,-E23,false,81.22,36.35
157.0,1768702095428_9_9,GREEN,71.82,-E23,false,81.22,36.35
158.0,1768702095428_0_0,BLUE,91.67,-E23,false,77.48,48.46
158.0,1768702095428_1_1,WHITE,83.18,-E23,false,77.48,48.46
158.0,1768702095428_1_11,BLACK,64.78,-E23,false,77.48,48.46
158.0,1768702095428_2_2,BLACK,84.52,-E23,false,77.48,48.46
158.0,1768702095428_3_3,WHITE,77.41,-E23,false,77.48,48.46
158.0,1768702095428_4_4,GREEN,72.01,-E23,false,77.48,48.46
158.0,1768702095428_9_19,RED,58.03,-E23,false,77.48,48.46
158.0,1768702095428_9_9,GREEN,75.72,-E23,false,77.48,48.46
159.0,1768702095428_0_0,BLUE,89.62,-E23,false,73.60,60.58
159.0,1768702095428_1_1,WHITE,80.70,-E23,false,73.60,60.58
159.0,1768702095428_1_11,BLACK,67.14,-E23,false,73.60,60.58
159.0,1768702095428_1_21,BLACK,50.04,-E23,false,73.60,60.58
159.0,1768702095428_2_2,BLACK,88.11,-E23,false,73.60,60.58
159.0,1768702095428_3_3,WHITE,79.62,-E23,false,73.60,60.58
159.0,1768702095428_4_4,GREEN,69.58,-E23,false,73.60,60.58
159.0,1768702095428_5_5,BLUE,64.03,-E23,false,73.60,60.58
159.0,1768702095428_9_19,RED,56.80,-E23,false,73.60,60.58
159.0,1768702095428_9_9,GREEN,73.91,-E23,false,73.60,60.58
160.0,1768702095428_0_0,BLUE,73.66,-E23,false,68.77,72.70
160.0,1768702095428_1_1,WHITE,78.50,-E23,false,68.77,72.70
160.0,1768702095428_1_11,BLACK,67.40,-E23,false,68.77,72.70
160.0,1768702095428_1_21,BLACK,47.77,-E23,false,68.77,72.70
160.0,1768702095428_2_2,BLACK,87.34,-E23,false,68.77,72.70
160.0,1768702095428_3_3,WHITE,85.22,-E23,false,68.77,72.70
160.0,1768702095428_4_4,GREEN,74.50,-E23,false,68.77,72.70
160.0,1768702095428_5_5,BLUE,61.13,-E23,false,68.77,72.70
160.0,1768702095428_6_6,BLACK,54.38,-E23,false,68.77,72.70
160.0,1768702095428_9_19,RED,58.63,-E23,false,68.77,72.70
160.0,1768702095428_9_29,GREEN,38.77,-E23,false,68.77,72.70
160.0,1768702095428_9_9,GREEN,76.66,-E23,false,68.77,72.70
161.0,1768702095428_0_0,BLUE,57.46,-E23,false,61.69,84.81
161.0,1768702095428_1_1,WHITE,63.53,-E23,false,61.69,84.81
161.0,1768702095428_1_11,BLACK,75.07,-E23,false,61.69,84.81
161.0,1768702095428_1_21,BLACK,53.28,-E23,false,61.69,84.81
161.0,1768702095428_1_31,BLACK,22.55,-E23,false,61.69,84.81
161.0,1768702095428_2_2,BLACK,71.14,-E23,false,61.69,84.81
161.0,1768702095428_3_3,WHITE,81.50,-E23,false,61.69,84.81
161.0,1768702095428_4_4,GREEN,80.56,-E23,false,61.69,84.81
161.0,1768702095428_5_5,BLUE,65.89,-E23,false,61.69,84.81
161.0,1768702095428_6_6,BLACK,51.16,-E23,false,61.69,84.81
161.0,1768702095428_7_7,BLACK,43.02,-E23,false,61.69,84.81
161.0,1768702095428_9_19,RED,61.58,-E23,false,61.69,84.81
161.0,1768702095428_9_29,GREEN,34.83,-E23,false,61.69,84.81
161.0,1768702095428_9_9,GREEN,73.76,-E23,false,61.69,84.81
